Conference, Year, Round, specR, hillR
Big East, 2007, 3, 0.4285714285714286, 0.265506329113924
Big East, 2007, 4, 0.5714285714285714, 0.3586244824016563
Big East, 2007, 5, 0.7070999520703163, 0.3845009157509158
Big East, 2007, 6, 0.6819456199502749, 0.45365869341563786
Big East, 2007, 7, 0.6841316830574222, 0.3682017543859649
Big East, 2008, 1, 0.2857142857142857, 0.6963474025974027
Big East, 2008, 2, 0.2857142857142857, 0.4515232974910394
Big East, 2008, 3, 0.4285714285714286, 0.3413956639566396
Big East, 2008, 4, 0.4599347939390178, 0.3694552277432712
Big East, 2008, 5, 0.6870024277678495, 0.5463375470463099
Big East, 2008, 6, 0.668160620638244, 0.4806261446886447
Big East, 2008, 7, 0.8048535137450802, 0.6732689504373177
Big East, 2009, 1, 0.2857142857142857, 0.6963474025974027
Big East, 2009, 2, 0.4285714285714286, 0.6294422398589066
Big East, 2009, 3, 0.5714285714285714, 0.6437717438573604
Big East, 2009, 4, 0.7142857142857143, 0.7847322684348
Big East, 2009, 5, 0.8571428571428572, 0.7190654538969146
Big East, 2009, 6, 0.8571428571428572, 0.7126952465383316
Big East, 2009, 7, 0.8571428571428572, 0.7079117063492064
Big East, 2010, 1, 0.1428571428571429, 0.5581582633053221
Big East, 2010, 2, 0.2857142857142857, 0.3218422114608555
Big East, 2010, 3, 0.4285714285714286, 0.29399420024420025
Big East, 2010, 4, 0.538834929478005, 0.27545553935860057
Big East, 2010, 5, 0.5660692261527656, 0.29625220458553786
Big East, 2010, 6, 0.5795522427131301, 0.31853666245259166
Big East, 2010, 7, 0.7081735115114698, 0.4544101731601731
Big East, 2011, 1, 0.2857142857142857, 0.5581582633053221
Big East, 2011, 2, 0.2857142857142857, 0.3438013136288999
Big East, 2011, 3, 0.4285714285714286, 0.3644887955182073
Big East, 2011, 4, 0.4567463374668579, 0.33320105820105816
Big East, 2011, 5, 0.5530425686608477, 0.3140986394557823
Big East, 2011, 6, 0.6676473857524153, 0.3944171399446629
Big East, 2011, 7, 0.7142857142857142, 0.5091307277628032
Big East, 2012, 1, 0.4285714285714286, 0.7658814589665653
Big East, 2012, 2, 0.5714285714285714, 0.7185360863095238
Big East, 2012, 3, 0.5714285714285714, 0.6233457019171305
Big East, 2012, 4, 0.5714285714285714, 0.5728631621187801
Big East, 2012, 5, 0.7142857142857143, 0.5472869674185463
Big East, 2012, 6, 0.6930811997073234, 0.4856660997732426
Big East, 2012, 7, 0.7142857142857144, 0.5088274932614555
